"source_db","query_id","query","eid","title","doi","publication_name","cover_date","subtype_description","citedby_count","openaccess","authors","affiliations","scopus_link"
"Scopus","Q1_hems_der_tariffs","TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85141958980","The impact of energy-efficiency upgrades and other distributed energy resources on a residential neighborhood-scale electrification retrofit","10.1016/j.apenergy.2022.120256","Applied Energy","2023-01-01","Article","20","2","Earle L.; Maguire J.; Munankarmi P.; Roberts D.","National Laboratory of the Rockies","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85141958980&origin=inward"
"Scopus","Q1_hems_der_tariffs","TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85115296665","Optimal planning of solar photovoltaic and battery storage for electric vehicle owner households with time-of-use tariff","10.1049/gtd2.12300","Iet Generation Transmission and Distribution","2022-02-01","Article","28","1","Merrington S.; Khezri R.; Mahmoudi A.","College of Science and Engineering","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115296665&origin=inward"
"Scopus","Q1_hems_der_tariffs","TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85121570026","Integration of electric vehicles and energy storage system in home energy management system with home to grid capability","10.3390/en14248557","Energies","2021-12-01","Article","55","1","Mohammad A.; Zuhaib M.; Ashraf I.; Alsultan M.; Ahmad S.; Sarwar A.; Abdollahian M.","King Saud University; RMIT University; Zakir Husain College of Engineering and Technology","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121570026&origin=inward"
"Scopus","Q1_hems_der_tariffs","TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85097778714","A home energy management system with an integrated smart thermostat for demand response in smart grids","10.1016/j.scs.2020.102639","Sustainable Cities and Society","2021-02-01","Article","171","0","Duman A.C.; Erden H.S.; Gönül Ö.; Güler Ö.","İstanbul Teknik Üniversitesi; Turkish-German University","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097778714&origin=inward"
"Scopus","Q1_hems_der_tariffs","TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85098802294","Two-stage energy management strategy of EV and PV integrated smart home to minimize electricity cost and flatten power load profile","10.3390/en13236387","Energies","2020-12-03","Article","53","1","Abdalla M.A.A.; Min W.; Mohammed O.A.A.","Nanjing University of Science and Technology; Hohai University; Nyala University","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098802294&origin=inward"
"Scopus","Q1_hems_der_tariffs","TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85086387391","Multi-objective optimization of home appliances and electric vehicle considering customer's benefits and offsite shared photovoltaic curtailment","10.3390/en13112852","Energies","2020-06-01","Article","20","1","Kwon Y.; Kim T.; Baek K.; Kim J.","Gwangju Institute of Science and Technology","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086387391&origin=inward"
"Scopus","Q1_hems_der_tariffs","TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85058353310","Operation Scheduling of Household Load, EV and BESS Using Real Time Pricing, Incentive Based DR and Peak Power Limiting Strategy","10.1515/ijeeps-2018-0186","International Journal of Emerging Electric Power Systems","2019-01-01","Article","12","0","Kakran S.; Chanana S.","National Institute of Technology Kurukshetra","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058353310&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-105034986590","Hierarchical learning platform for optimal EV charging scheduling in PV-driven residential buildings","10.1016/j.enbuild.2026.117191","Energy and Buildings","2026-04-15","Article","0","1","Selicati V.; Jahanbin A.; Berardi U.","Politecnico di Bari","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034986590&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-105024859196","A mixed-integer linear programming approach for optimising residential energy management with multiple sustainable energy resources","10.1016/j.enconman.2025.120932","Energy Conversion and Management","2026-02-01","Article","1","1","Pinto P.M.E.; Osório G.J.; Javadi M.S.; Catalão J.P.S.","Universidade do Porto; Universidade da Beira Interior","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024859196&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-105033962823","Integration of Day-Ahead HEMS Planning with MPC for Real-Time Operation of Smart Homes with PV and V2G","10.1109/TIA.2026.3676960","IEEE Transactions on Industry Applications","2026-01-01","Article","0","0","Fiorotti R.; Fardin J.F.; Rocha H.R.O.; Rueda-Medina A.C.; Coutinho C.R.; Zanotelli T.; Bruno S.","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033962823&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-105023205977","Adaptive energy management in smart homes through fuzzy reinforcement learning and metaheuristic optimization algorithms to minimize costs","10.1038/s41598-025-26377-3","Scientific Reports","2025-12-01","Article","0","1","Hamedani M.M.K.; Jahangiri A.; Mehri R.; Shamim A.G.","Islamic Azad University, Hamedan Branch","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023205977&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85215258087","Deep reinforcement learning-based plug-in electric vehicle charging/discharging scheduling in a home energy management system","10.1016/j.energy.2025.134420","Energy","2025-02-01","Article","34","0","Mansour S.H.; Azzam S.M.; Hasanien H.M.; Tostado-Véliz M.; Alkuhayli A.; Jurado F.","King Saud University; Universidad de Jaén; Faculty of Engineering, Ain Shams University; Faculty of Engineering & Technology; Faculty of Information Engineering and Technology","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85215258087&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-105007288902","Cloud-Based Real-Time Model Predictive Control for a Multi-Carrier and Multi-Objective Home Energy Management System","10.1109/TIA.2025.3576745","IEEE Transactions on Industry Applications","2025-01-01","Article","1","0","Kazemi M.; Papadimitriou C.N.; Paterakis N.G.; Kok K.","Technische Universiteit Eindhoven","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105007288902&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85148865791","Optimized Cost of Energy by a Home Energy Management System Employing Dynamic Power Import Limit Strategy: A Case study Approach","10.22098/joape.2022.10254.1728","Journal of Operation and Automation in Power Engineering","2023-12-01","Article","9","0","Juyal V.D.; Kakran S.","National Institute of Technology Kurukshetra","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148865791&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85164285971","Real-time energy scheduling for home energy management systems with an energy storage system and electric vehicle based on a supervised-learning-based strategy","10.1016/j.enconman.2023.117340","Energy Conversion and Management","2023-09-15","Article","95","1","Huy T.H.B.; Truong Dinh H.; Ngoc Vo D.; Kim D.","Viet Nam National University Ho Chi Minh City; Soonchunhyang University; Ho Chi Minh City University of Technology - HCMUT; Vietnamese-German University","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85164285971&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85132238913","Supervised-learning-based hour-ahead demand response for a behavior-based home energy management system approximating MILP optimization","10.1016/j.apenergy.2022.119382","Applied Energy","2022-09-01","Article","42","1","Dinh H.T.; Lee K.h.; Kim D.","Dankook University; Soonchunhyang University","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132238913&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85126277537","A Shrinking Horizon Model Predictive Controller for Daily Scheduling of Home Energy Management Systems","10.1109/ACCESS.2022.3158346","IEEE Access","2022-01-01","Article","41","1","Esmaeel Nezhad A.; Rahimnejad A.; Nardelli P.H.J.; Gadsden S.A.; Sahoo S.; Ghanavati F.","LUT University; McMaster University, Faculty of Engineering","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85126277537&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85101329330","Self-scheduling model for home energy management systems considering the end-users discomfort index within price-based demand response programs","10.1016/j.scs.2021.102792","Sustainable Cities and Society","2021-05-01","Article","147","2","Javadi M.S.; Nezhad A.E.; Nardelli P.H.J.; Gough M.; Lotfi M.; Santos S.; Catalão J.P.S.","Universidade do Porto; LUT University; Institute for Systems and Computer Engineering, Technology and Science; Islamic Azad University, Shiraz Branch","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101329330&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85089602068","Predictive Home Energy Management System with Photovoltaic Array, Heat Pump, and Plug-In Electric Vehicle","10.1109/TII.2020.2971530","IEEE Transactions on Industrial Informatics","2021-01-01","Article","127","0","Yousefi M.; Hajizadeh A.; Soltani M.N.; Hredzak B.","UNSW Sydney; Aalborg University","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089602068&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85092740410","Price-sensitive home energy management method based on Pareto optimisation","10.1080/19397038.2020.1822948","International Journal of Sustainable Engineering","2021-01-01","Article","7","2","Lyu J.; Ye T.; Xu M.; Ma G.; Wang Y.; Li M.","Nanjing Normal University","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092740410&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85089814667","Optimal self-scheduling of home energy management system in the presence of photovoltaic power generation and batteries","10.1016/j.energy.2020.118568","Energy","2020-11-01","Article","140","0","Javadi M.S.; Gough M.; Lotfi M.; Esmaeel Nezhad A.; Santos S.F.; Catalão J.P.S.","Alma Mater Studiorum Università di Bologna; Universidade do Porto; Institute for Systems and Computer Engineering, Technology and Science; Islamic Azad University, Shiraz Branch","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089814667&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85089910030","Performance assessment of an energy management system for a home microgrid with PV generation","10.3390/en13133436","Energies","2020-07-01","Article","28","1","Elkazaz M.; Sumner M.; Pholboon S.; Davies R.; Thomas D.","University of Nottingham; Tanta University","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089910030&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85082483430","Application of predictive control in scheduling of domestic appliances","10.3390/app10051627","Applied Sciences Switzerland","2020-03-01","Article","12","1","Nagpal H.; Staino S.; Basu B.","Trinity College Dublin","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082483430&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85076851289","A residential energy management system with bi-level optimization-based bidding strategy for day-ahead bi-directional electricity trading","10.1016/j.apenergy.2019.114322","Applied Energy","2020-03-01","Article","86","1","Nizami M.S.H.; Hossain M.J.; Amin B.M.R.; Fernandez E.","Macquarie University","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076851289&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85079639165","Proactive energy optimization in residential buildings withweather and market forecasts","10.3390/PR7120929","Processes","2019-12-01","Article","19","1","Simmons C.R.; Arment J.R.; Powell K.M.; Hedengren J.D.","John and Marcia Price College of Engineering; Ira A. Fulton College of Engineering","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079639165&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85048611999","Resilient Scheduling Portfolio of Residential Devices and Plug-In Electric Vehicle by Minimizing Conditional Value at Risk","10.1109/TII.2018.2847742","IEEE Transactions on Industrial Informatics","2019-03-01","Article","78","0","Paul S.; Padhy N.P.","Indian Institute of Technology Roorkee","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048611999&origin=inward"
"Scopus","Q2_milp_mpc_online","TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-85053597219","A Multistage Home Energy Management System with Residential Photovoltaic Penetration","10.1109/TII.2018.2871159","IEEE Transactions on Industrial Informatics","2019-01-01","Article","142","0","Luo F.; Ranzi G.; Wan C.; Xu Z.; Dong Z.Y.","UNSW Sydney; The Hong Kong Polytechnic University; Faculty of Engineering; College of Electrical Engineering, Zhejiang University","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053597219&origin=inward"
"Scopus","Q3_rl_energy","TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-105030560055","Adaptive reinforcement learning framework for sustainable microgrid optimization in arid urban environments","10.1038/s41598-026-37752-z","Scientific Reports","2026-12-01","Article","0","1","Mohamed M.A.S.; Almazam K.; Alzahrani M.; Majrashi A.A.; Garo O.O.; Lagebo M.L.","Qassim University; University of Ha'il; Najran University; Arba Minch University; Umm Al Qura University, College of Engineering and Islamic Architecture","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105030560055&origin=inward"
"Scopus","Q3_rl_energy","TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))","2-s2.0-105032364807","Reinforcement learning vs. model-based control in electric vehicle charging microgrids","10.1016/j.conengprac.2026.106890","Control Engineering Practice","2026-07-01","Article","0","0","Burgaud V.; Le Goff G.; Kergus P.; Fadel M.","Laboratoire Plasma et Conversion d’Energie","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105032364807&origin=inward"
